Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
236;9;28;Matthias Ginter;Deutschland;28;5;0;
237;9;24;Tony Jantschke;Deutschland;12;0;0;
238;9;27;Julian Korb;Deutschland;0;0;0;
239;9;42;Florian Mayer;Deutschland;1;0;0;
240;9;0;Florian Mayer;Deutschland;1;0;0;
241;9;3;Reece Oxford;England;6;0;0;
242;9;4;Jannik Vestergaard;Dänemark;27;3;0;
243;9;17;Oscar Wendt;Schweden;22;1;0;
244;9;22;Laszlo Benes;Slowakei;1;0;0;
245;9;38;Marcel Benger;Deutschland;1;0;0;
246;9;0;Marcel Benger;Deutschland;1;0;0;
247;9;27;Mickael Cuisance;Frankreich;19;0;0;
248;9;32;Vincenzo Grifo;Deutschland;15;0;0;
249;9;28;André Hahn;Deutschland;0;0;0;
250;9;7;Patrick Herrmann;Deutschland;21;0;0;
251;9;23;Jonas Hofmann;Deutschland;17;0;0;
252;9;19;Fabian Johnson;Vereinigte Staaten;10;1;0;
253;9;6;Christoph Kramer;Deutschland;22;2;0;
254;9;5;Tobias Strobl;Deutschland;0;0;0;
255;9;16;Ibrahima Traore;Unbekannt;3;0;0;
256;9;8;Denis Zakaria;Schweiz;25;2;0;
257;9;26;Raul Bobadilla;Paraguay;13;0;0;
258;9;11;Raffael;Brasilien;21;7;0;
259;9;18;Josip Drmic;Schweiz;9;1;0;
260;9;10;Thorgan Hazard;Belgien;28;8;0;
261;9;31;Ba-Muaka Simakala;Deutschland;0;0;0;
262;9;13;Lars Stindl;Deutschland;28;5;0;
263;9;20;Julio Villalba;Paraguay;1;0;0;
264;10;24;Ioannis Gelios;Griechenland;0;0;0;
265;10;13;Fabian Giefer;Deutschland;0;0;0;
266;10;35;Marwin Hitz;Schweiz;28;0;0;
267;10;1;Andreas Luthe;Deutschland;0;0;0;
268;10;26;Simon Asta;Deutschland;0;0;0;
269;10;38;Kevin Danso;Österreich;14;2;0;
270;10;32;Raphael Framberger;Deutschland;9;0;0;
271;10;6;Jeffrey Gouweleeuw;Niederlande;21;0;0;
272;10;36;Martin Hinteregger;Österreich;24;0;0;
273;10;25;Kilian Jakob;Deutschland;1;0;0;
274;10;16;Christoph Janker;Deutschland;2;0;0;
275;10;31;Philipp Max;Deutschland;28;1;0;
276;10;4;Daniel Opare;Ghana;17;0;0;
277;10;3;Konstantinos Stafylidis;Griechenland;2;0;0;
278;10;10;Daniel Baier;Deutschland;26;0;0;
279;10;7;Marcel Heller;Deutschland;22;0;0;
280;10;20;Gojko Kacar;Serbien;5;1;0;
281;10;8;Rani Khedira;Deutschland;24;1;0;
282;10;19;Ja Cheol Koo;Republik Korea (Südkorea);25;2;0;
283;10;14;Jan Morávek;Tschechien;11;0;0;
284;10;17;Jonathan Schmid;Frankreich;19;0;0;
285;10;21;Sergio Cordova;Venezuela;20;1;0;
286;10;30;Caiuby;Portugal;27;5;0;
287;10;27;Alfred Finnbogason;Island;18;11;0;
288;10;11;Michael Gregoritsch;Österreich;27;11;0;
289;10;9;Shawn Parker;Deutschland;2;0;0;
290;10;23;Marco Richter;Deutschland;6;1;0;
291;11;22;Rune Jarstein;Norwegen;25;0;0;
292;11;33;Jonathan Klinsmann;Vereinigte Staaten;0;0;0;
293;11;1;Thomas Kraft;Deutschland;3;0;0;
294;11;31;Dennis Smarsch;Deutschland;0;0;0;
295;11;29;Florian Baak;Deutschland;0;0;0;
296;11;0;Florian Baak;Deutschland;0;0;0;
297;11;28;Fabian Lustenberger;Schweiz;19;0;0;
298;11;17;Maximilian Mittelstädt;Deutschland;9;0;0;
299;11;2;Peter Pekarik;Slowakei;13;0;0;
300;11;21;Marvin Plattenhardt;Deutschland;27;0;0;
301;11;4;Karim Rekik;Niederlande;20;2;0;
302;11;5;Niklas Stark;Deutschland;23;1;0;
303;11;25;Jordan Torunarigha;Deutschland;10;1;0;
304;11;23;Mitchell Weiser;Deutschland;22;1;0;
305;11;6;Vladimír Darida;Tschechien;15;0;0;
306;11;10;Ondrej Duda;Slowakei;13;1;0;
307;11;35;Sidney Friede;Deutschland;0;0;0;
308;11;30;Julius Kade;Deutschland;0;0;0;
309;11;20;Valentino Lazaro;Österreich;21;2;0;
310;11;26;Arne Maier;Deutschland;16;0;0;
311;11;0;Arne Maier;Deutschland;16;0;0;
312;11;3;Per Ciljan Skjelbred;Norwegen;23;0;0;
313;11;34;Maurice Covic;Deutschland;0;0;0;
314;11;32;Palko Dardai;Deutschland;0;0;0;
315;11;0;Palko Dardai;Deutschland;0;0;0;
316;11;7;Alexander Esswein;Deutschland;14;1;0;
317;11;19;Vedad Ibisevic;Bosnien-Herzegowina;22;4;0;
318;11;8;Salomon Kalou;Elfenbeinküste;25;10;0;
319;11;18;Sinan Kurt;Deutschland;0;0;0;
320;11;11;Mathew Leckie;Australien;21;4;0;
321;11;16;Julian Schieber;Deutschland;1;0;0;
322;11;27;Davie Selke;Deutschland;21;5;0;
323;12;33;Jaroslav Drobny;Tschechien;0;0;0;
324;12;1;Jiri Pavlenka;Tschechien;29;0;0;
325;12;30;Michael Zetterer;Deutschland;0;0;0;
326;12;5;Ludwig Augustinsson;Schweden;27;1;0;
327;12;4;Robert Bauer;Deutschland;16;0;0;
328;12;3;Luca Caldirola;Italien;1;0;0;
329;12;32;Marco Friedl;Österreich;4;0;0;
330;12;23;Theodor Gebre Selassie;Tschechien;27;2;0;
331;12;15;Sebastian Langkamp;Deutschland;6;0;0;
332;12;18;Niklas Moisander;Finnland;23;1;0;
333;12;13;Milos Veljkovic;Serbien;26;1;0;
334;12;28;Jesper Verlaat;Niederlande;0;0;0;
335;12;44;Philipp Bargfrede;Deutschland;23;1;0;
336;12;6;Thomas Delaney;Dänemark;28;2;0;
337;12;35;Maximilian Eggestein;Deutschland;28;2;0;
338;12;8;Jerome Gondorf;Deutschland;16;1;0;
339;12;16;Zlatko Junuzovic;Österreich;19;2;0;
340;12;7;Florian Kainz;Österreich;26;2;0;
341;12;14;Ole Käuper;Deutschland;1;0;0;
342;12;0;Ole Käuper;Deutschland;1;0;0;
343;12;22;Fin Bartels;Deutschland;14;2;0;
344;12;29;Ishak Belfodil;Algerien;24;4;0;
345;12;17;Justin Eilers;Deutschland;0;0;0;
